name,cbsa_code,median_income,total_population,population_25_plus,hs_diploma,ged,associates,bachelors,masters,professional,doctorate
"Monroe, LA Metro Area",33740,51660,223674,149261,40731,9286,9556,22615,10039,2717,1343
"Monroe, MI Metro Area",33780,77335,155505,111168,31510,5357,13050,16378,7515,1168,791
"Montgomery, AL Metro Area",33860,64010,386024,261207,64410,13012,20982,46875,25479,4572,3825
"Monticello, IN Micro Area",33900,67303,24717,17152,6091,1078,1599,2416,728,75,75
"Monticello, NY Micro Area",33910,72382,79721,56129,13398,3308,5560,9641,5448,1074,734
"Montrose, CO Micro Area",33940,72120,43807,31946,8582,1674,2664,5659,2604,460,449
"Morehead City, NC Micro Area",33980,72322,69148,53254,9906,2268,6284,11500,5002,1056,823
"Morgan City, LA Micro Area",34020,52576,47828,32517,13332,2246,1653,3098,1183,55,102
"Morgantown, WV Metro Area",34060,64640,141323,92338,23725,5136,5551,17625,11897,3742,3788
"Morristown, TN Metro Area",34100,60553,122533,86051,27276,5598,7806,10739,4665,1313,855
"Moscow, ID Micro Area",34140,65424,41049,24130,4097,1022,2068,6407,2468,543,956
"Moses Lake, WA Micro Area",34180,73267,101799,63192,14746,3427,6827,8137,2571,650,287
"Moultrie, GA Micro Area",34220,49341,46224,30193,10040,1501,2639,2452,1576,498,165
"Mountain Home, AR Micro Area",34260,48452,42407,32363,8722,2005,4138,4551,1185,297,260
"Mountain Home, ID Micro Area",34300,65359,29321,18726,4604,1153,2311,2986,932,196,72
"Mount Airy, NC Micro Area",34340,55656,71425,50797,11634,3010,6035,6762,2916,420,260
"Mount Pleasant, MI Micro Area",34380,55237,64565,36489,9270,1427,3559,6487,3423,544,973
"Mount Pleasant, TX Micro Area",34420,58626,56237,36071,10768,1804,2797,4532,1448,187,181
"Mount Sterling, KY Micro Area",34460,55208,47476,32412,10301,2660,2534,3388,1861,398,126
"Mount Vernon, IL Micro Area",34500,63118,36550,25775,7214,1669,3610,2946,1292,252,193
"Mount Vernon, OH Micro Area",34540,73878,63142,41724,14432,1380,4170,6365,2903,564,455
"Mount Vernon-Anacortes, WA Metro Area",34580,89263,131328,94631,19848,3854,11207,17428,8157,1995,998
"Muncie, IN Metro Area",34620,58127,112280,70560,19612,4171,6643,10683,5654,715,1427
"Murray, KY Micro Area",34660,52706,38224,23637,6498,1301,1695,4174,2484,374,339
"Murrells Inlet, SC Micro Area",34680,68713,64811,49072,11451,1634,5157,10380,4039,1063,600
"Muscatine, IA Micro Area",34700,69396,42559,28892,8126,1959,3308,4598,1498,237,338
"Muskegon-Norton Shores, MI Metro Area",34740,65024,175961,122392,34649,7621,14615,18261,6089,1142,634
"Muskogee, OK Micro Area",34780,53619,66444,44286,12750,3123,4508,5705,2081,306,242
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",34820,66880,383016,288090,77872,11683,31304,50658,20254,3982,3317
"Nacogdoches, TX Micro Area",34860,53555,65162,38116,8982,1974,2159,6592,2621,598,934
"Nantucket, MA Micro Area",34880,139688,14483,10529,1530,266,483,3620,1436,405,469
"Napa, CA Metro Area",34900,111471,134869,97520,14314,2353,8379,25153,9081,3239,1333
"Naples-Marco Island, FL Metro Area",34940,90045,398291,308251,65802,10354,27976,72405,34357,12345,5088
